Valor nulo: -9999.9		
Fecha (GMT)	Temperatura del Agua(ºC)	Canal de obtencion de los datos
2010 01 29 23	13.6	2
2010 01 30 00	13.7	2
2010 01 30 01	13.6	2
2010 01 30 02	13.6	2
2010 01 30 03	13.6	2
2010 01 30 04	13.6	2
2010 01 30 05	13.6	2
2010 01 30 06	13.6	2
2010 01 30 07	13.6	2
2010 01 30 08	13.6	2
2010 01 30 09	13.6	2
2010 01 30 10	13.6	2
2010 01 30 11	13.6	2
2010 01 30 12	13.4	2
2010 01 30 13	13.6	2
2010 01 30 14	13.6	2
2010 01 30 15	13.6	2
2010 01 30 16	13.6	2
2010 01 30 17	13.6	2
2010 01 30 18	13.7	2
2010 01 30 19	13.7	2
2010 01 30 20	13.6	2
2010 01 30 21	13.6	2
2010 01 30 22	13.7	2
2010 01 30 23	13.6	2
2010 01 31 00	13.6	2
2010 01 31 01	13.5	2
2010 01 31 02	13.5	2
2010 01 31 03	13.5	2
2010 01 31 04	13.5	2
2010 01 31 05	13.5	2
2010 01 31 06	13.6	2
2010 01 31 07	13.6	2
2010 01 31 08	13.6	2
2010 01 31 09	13.6	2
2010 01 31 10	13.6	2
2010 01 31 11	13.6	2
2010 01 31 12	13.5	2
2010 01 31 13	13.6	2
2010 01 31 14	13.5	2
2010 01 31 15	13.6	2
2010 01 31 16	13.6	2
2010 01 31 17	13.6	2
2010 01 31 18	13.7	2
2010 01 31 19	13.7	2
2010 01 31 20	13.7	2
2010 01 31 21	13.7	2
2010 01 31 22	13.7	2
2010 01 31 23	13.7	2
2010 02 01 00	13.6	2
2010 02 01 01	13.6	2
2010 02 01 02	13.6	2
2010 02 01 03	13.7	2
2010 02 01 04	13.6	2
2010 02 01 05	13.6	2
2010 02 01 06	13.7	2
2010 02 01 07	13.7	2
2010 02 01 08	13.7	2
2010 02 01 09	13.6	2
2010 02 01 10	13.7	2
2010 02 01 11	13.6	2
2010 02 01 12	13.6	2
2010 02 01 13	13.6	2
2010 02 01 14	13.6	2
2010 02 01 15	13.6	2
2010 02 01 16	13.6	2
2010 02 01 17	13.6	2
2010 02 01 18	13.5	2
2010 02 01 19	13.5	2
2010 02 01 20	13.5	2
2010 02 01 21	13.4	2
2010 02 01 22	13.4	2
2010 02 01 23	13.4	2
2010 02 02 00	13.4	2
2010 02 02 01	13.4	2
2010 02 02 02	13.4	2
2010 02 02 03	13.4	2
2010 02 02 04	13.4	2
2010 02 02 05	13.4	2
2010 02 02 06	13.4	2
2010 02 02 07	13.4	2
2010 02 02 08	13.4	2
2010 02 02 09	13.4	2
2010 02 02 10	13.4	2
2010 02 02 11	13.5	2
2010 02 02 12	13.5	2
2010 02 02 13	13.4	2
2010 02 02 14	13.6	2
2010 02 02 15	13.6	2
2010 02 02 16	13.6	2
2010 02 02 17	13.6	2
2010 02 02 18	13.5	2
2010 02 02 19	13.4	2
2010 02 02 20	13.4	2
2010 02 02 21	13.4	2
2010 02 02 22	13.4	2
2010 02 02 23	13.5	2
2010 02 03 00	13.5	2
2010 02 03 01	13.5	2
2010 02 03 02	13.5	2
2010 02 03 03	13.5	2
2010 02 03 04	13.5	2
2010 02 03 05	13.6	2
2010 02 03 06	13.5	2
2010 02 03 07	13.6	2
2010 02 03 08	13.5	2
2010 02 03 09	13.5	2
2010 02 03 10	13.5	2
2010 02 03 11	13.5	2
2010 02 03 12	13.5	2
2010 02 03 13	13.5	2
2010 02 03 14	13.5	2
2010 02 03 15	13.5	2
2010 02 03 16	13.5	2
2010 02 03 17	13.5	2
2010 02 03 18	13.6	2
2010 02 03 19	13.5	2
2010 02 03 20	13.5	2
2010 02 03 21	13.5	2
2010 02 03 22	13.5	2
2010 02 03 23	13.5	2
2010 02 04 00	13.6	2
2010 02 04 01	13.6	2
2010 02 04 02	13.6	2
2010 02 04 03	13.6	2
2010 02 04 04	13.6	2
2010 02 04 05	13.6	2
2010 02 04 06	13.6	2
2010 02 04 07	13.6	2
2010 02 04 08	13.6	2
2010 02 04 09	13.5	2
2010 02 04 10	13.6	2
2010 02 04 11	13.6	2
2010 02 04 12	13.6	2
2010 02 04 13	13.6	2
2010 02 04 14	13.6	2
2010 02 04 15	13.6	2
2010 02 04 16	13.6	2
2010 02 04 17	13.6	2
2010 02 04 18	13.6	2
2010 02 04 19	13.6	2
2010 02 04 20	13.6	2
2010 02 04 21	13.6	2
2010 02 04 22	13.6	2
2010 02 04 23	13.6	2
2010 02 05 00	13.6	2
2010 02 05 01	13.6	2
2010 02 05 02	13.6	2
2010 02 05 03	13.6	2
2010 02 05 04	13.6	2
2010 02 05 05	13.6	2
2010 02 05 06	13.6	2
2010 02 05 07	13.5	2
2010 02 05 08	13.5	2
2010 02 05 09	13.5	2
2010 02 05 10	13.5	2
2010 02 05 11	13.5	2
2010 02 05 12	13.5	2
2010 02 05 13	13.5	2
2010 02 05 14	13.5	2
2010 02 05 15	13.6	2
2010 02 05 16	13.6	2
2010 02 05 17	13.5	2
2010 02 05 18	13.5	2
2010 02 05 19	13.4	2
2010 02 05 20	13.4	2
2010 02 05 21	13.4	2
2010 02 05 22	13.4	2
2010 02 05 23	13.4	2
